id,original_id,path,type,version,exists,access_type,expected_path,located_paths
64,,system/files/images/categorias/c8f93030259cd6eb5436a8b4dc88516a8a82cf03,image/jpeg,original,True,public,system/files/images/categorias/c8f93030259cd6eb5436a8b4dc88516a8a82cf03,system/files/images/categorias/c8f93030259cd6eb5436a8b4dc88516a8a82cf03
65,64,multimedia/imagenes/categorias/ec94a4e6c0c1c2c0b129da280cbd23040f67882c.jpg,image/jpeg,small,True,public,multimedia/imagenes/categorias/ec94a4e6c0c1c2c0b129da280cbd23040f67882c.jpg,multimedia/imagenes/categorias/ec94a4e6c0c1c2c0b129da280cbd23040f67882c.jpg
66,64,multimedia/imagenes/categorias/bb8dc4ea32bd7893747008de1764e061f142e02b.jpg,image/jpeg,medium,True,public,multimedia/imagenes/categorias/bb8dc4ea32bd7893747008de1764e061f142e02b.jpg,multimedia/imagenes/categorias/bb8dc4ea32bd7893747008de1764e061f142e02b.jpg
67,64,multimedia/imagenes/categorias/dc93d255b816ed859bc35d8634a7b813182876ea.jpg,image/jpeg,large,True,public,multimedia/imagenes/categorias/dc93d255b816ed859bc35d8634a7b813182876ea.jpg,multimedia/imagenes/categorias/dc93d255b816ed859bc35d8634a7b813182876ea.jpg
68,,system/files/images/categorias/dea67750c58a9beeb1e4bf0140e4b97863635cfa,image/jpeg,original,True,public,system/files/images/categorias/dea67750c58a9beeb1e4bf0140e4b97863635cfa,system/files/images/categorias/dea67750c58a9beeb1e4bf0140e4b97863635cfa | system/files/images/productos/dea67750c58a9beeb1e4bf0140e4b97863635cfa
69,68,multimedia/imagenes/categorias/8c12a4fa46746e8273fa31b0446dc58c4e45f9ab.jpg,image/jpeg,small,True,public,multimedia/imagenes/categorias/8c12a4fa46746e8273fa31b0446dc58c4e45f9ab.jpg,multimedia/imagenes/categorias/8c12a4fa46746e8273fa31b0446dc58c4e45f9ab.jpg | multimedia/imagenes/productos/8c12a4fa46746e8273fa31b0446dc58c4e45f9ab.jpg
70,68,multimedia/imagenes/categorias/0edf5e776fb7c7d5fb15c1a67320df1dbaaa07fd.jpg,image/jpeg,medium,True,public,multimedia/imagenes/categorias/0edf5e776fb7c7d5fb15c1a67320df1dbaaa07fd.jpg,multimedia/imagenes/categorias/0edf5e776fb7c7d5fb15c1a67320df1dbaaa07fd.jpg | multimedia/imagenes/productos/0edf5e776fb7c7d5fb15c1a67320df1dbaaa07fd.jpg
71,68,multimedia/imagenes/categorias/9f2f4d7601bb79d991cf17d788513fe458d891d3.jpg,image/jpeg,large,True,public,multimedia/imagenes/categorias/9f2f4d7601bb79d991cf17d788513fe458d891d3.jpg,multimedia/imagenes/categorias/9f2f4d7601bb79d991cf17d788513fe458d891d3.jpg | multimedia/imagenes/productos/9f2f4d7601bb79d991cf17d788513fe458d891d3.jpg
72,,system/files/images/categorias/a15d5cd1cf67dc7a304a8ebe8c9e28a866e7eda2,image/jpeg,original,True,public,system/files/images/categorias/a15d5cd1cf67dc7a304a8ebe8c9e28a866e7eda2,system/files/images/categorias/a15d5cd1cf67dc7a304a8ebe8c9e28a866e7eda2
73,72,multimedia/imagenes/categorias/b0b0544e480122ffd155693ea3e945cff098a235.jpg,image/jpeg,small,True,public,multimedia/imagenes/categorias/b0b0544e480122ffd155693ea3e945cff098a235.jpg,multimedia/imagenes/categorias/b0b0544e480122ffd155693ea3e945cff098a235.jpg
