product_id,file_id,kind,path,original_id,version,source_line
109,962,IMAGE,system/files/images/productos/a55fa2df012da03804394e857fc5e09ed6a69191,,original,1644
109,966,IMAGE,system/files/images/productos/7f7f61551dd20beb863b5847d43b062d728c618d,,original,1644
109,970,PDF,system/files/images/productos/959c0d9393ada51bef2817e8db59c54b487d2262,,original,1644
110,971,IMAGE,system/files/images/productos/a55fa2df012da03804394e857fc5e09ed6a69191,,original,1645
110,975,IMAGE,system/files/images/productos/7f7f61551dd20beb863b5847d43b062d728c618d,,original,1645
110,979,PDF,system/files/images/productos/959c0d9393ada51bef2817e8db59c54b487d2262,,original,1645
111,980,IMAGE,system/files/images/productos/137e56b6a9d584dd63289d5aef15bed4b23f9af4,,original,1646
111,984,PDF,system/files/images/productos/28e179e98ded1fda52f4c0c570e252ee83a7e709,,original,1646
112,985,IMAGE,system/files/images/productos/32efa422f2422111a48559ea8db3eedf5a0de2d3,,original,1647
112,989,PDF,system/files/images/productos/8afd449897be23fa417b449c587ed9dd11093a1d,,original,1647
113,990,IMAGE,system/files/images/productos/0aec19fd8541d023c19ecff7eb167c6c172a2732,,original,1648
113,994,PDF,system/files/images/productos/f11bb20047186203a5dd29076b6697e6cf181d69,,original,1648
114,995,IMAGE,system/files/images/productos/a55fa2df012da03804394e857fc5e09ed6a69191,,original,1649
114,999,IMAGE,system/files/images/productos/7f7f61551dd20beb863b5847d43b062d728c618d,,original,1649
114,1003,PDF,system/files/images/productos/959c0d9393ada51bef2817e8db59c54b487d2262,,original,1649
115,1004,IMAGE,system/files/images/productos/43d4232e7c8e46a381f607bdcb65a691c4321389,,original,1650
115,1008,IMAGE,system/files/images/productos/007c9191f5b7800de9549cd241c2b4dba8a9bb9f,,original,1650
115,1012,PDF,system/files/images/productos/ae22c94ae3eb5d4d4e7ccfdb5cfc086e37e1658c,,original,1650
115,1013,PDF,system/files/images/productos/adc000b103f864f06d51740c630158e411050fa1,,original,1650
116,1014,IMAGE,system/files/images/productos/ba3f2923d733855f1d109ba12330647b866a3383,,original,1652
116,1018,PDF,system/files/images/productos/300d21c729a7df172ac9f070a9b7485e88f8b038,,original,1652
116,1019,PDF,system/files/images/productos/8d7521a7a170e8ac85e5da1dd301ca17c0c24d71,,original,1652
